                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.92033,                 1.5037,                 1.4587,                 1.3385,                0.61476,                0.85981,                0.83455,                0.49064,                 0.6014,                0.84112,                0.77304,                0.55357,                 1.2523,                 3.0348,                  4.112,                 2.1205,             0.00065778,             0.00065778,             0.00065778
                      2,                 1.2858,                 1.7834,                 1.5994,                 1.6004,                0.32727,                0.16822,                 0.1508,                0.06022,                0.36364,                0.18692,                0.10895,                0.04108,                 1.9641,                 6.9616,                 12.569,                 2.8942,              0.0013179,              0.0013179,              0.0013179
                      3,                 1.4905,                 1.9736,                 1.5416,                 1.6954,                0.30465,                0.51402,                0.27344,                0.12157,                 0.2774,                0.50467,                0.24744,                0.12227,                 1.6185,                  3.472,                 3.1535,                 2.3847,              0.0019714,              0.0019714,              0.0019714
                      4,                 1.4553,                 2.0504,                 1.6824,                 1.7136,                0.06123,                0.71963,                0.05881,                0.02894,                0.05816,                0.71028,                0.05354,                 0.0248,                 1.7188,                 6.4812,                 14.693,                 2.5415,              0.0019703,              0.0019703,              0.0019703
                      5,                 1.3309,                 1.8293,                 1.3755,                 1.6001,                 0.2632,                 0.3372,                0.18616,                0.10519,                 0.3028,                0.31256,                0.19781,                0.10649,                 1.9195,                 2.5503,                 4.1388,                  2.333,              0.0019703,              0.0019703,              0.0019703
                      6,                 1.2938,                 1.7829,                 1.2215,                 1.6093,                0.84419,                0.88785,                0.93513,                0.57248,                0.81604,                0.85981,                0.88624,                0.57874,                 1.1844,                 2.1162,                 1.2848,                 1.8775,              0.0019604,              0.0019604,              0.0019604
                      7,                 1.2664,                 1.9397,                 1.2576,                  1.592,                0.83288,                0.74524,                0.83186,                0.46994,                0.82215,                0.73446,                0.80578,                0.55645,                 1.4777,                 1.8607,                 1.3538,                 2.0644,              0.0019505,              0.0019505,              0.0019505
                      8,                 1.2771,                 1.6109,                 1.1697,                 1.5594,                0.82583,                0.84194,                0.89884,                0.59238,                0.85679,                0.83873,                0.89241,                0.64334,                 1.2209,                 1.7684,                 1.1263,                 1.9118,              0.0019406,              0.0019406,              0.0019406
                      9,                 1.1734,                 1.4531,                 1.0542,                  1.478,                0.83567,                 0.7757,                0.88487,                0.53315,                0.82525,                 0.7757,                0.86228,                0.62198,                 1.2592,                 1.4086,                 1.3217,                 1.8201,              0.0019307,              0.0019307,              0.0019307
                     10,                 1.1652,                 1.6134,                 1.1316,                 1.4843,                0.82515,                0.86916,                0.92689,                0.61577,                0.82049,                0.83178,                0.87382,                0.60508,                 1.0924,                  1.995,                 1.1444,                 1.6698,              0.0019208,              0.0019208,              0.0019208
